,# Triangles,Avg. Triangle Size,Image Resolution,CPUs,Raster Mode,HOM Enabled,Runtime (ms)
124,256,1e-06,1024,64,2,0,16.1347
125,256,1e-06,1024,64,2,1,46.1016
126,256,1e-06,2048,1,0,0,5620.92
127,256,1e-06,2048,1,0,1,6146.76
128,256,1e-06,2048,1,1,0,0.187898
129,256,1e-06,2048,1,1,1,19.8661
130,256,1e-06,2048,1,2,0,0.187402
131,256,1e-06,2048,1,2,1,20.1388
132,256,1e-06,2048,2,0,0,2870.0
133,256,1e-06,2048,2,0,1,3432.56
134,256,1e-06,2048,2,1,0,0.270771
135,256,1e-06,2048,2,1,1,22.4108
136,256,1e-06,2048,2,2,0,0.288769
137,256,1e-06,2048,2,2,1,24.1044
138,256,1e-06,2048,4,0,0,1549.18
139,256,1e-06,2048,4,0,1,1704.46
140,256,1e-06,2048,4,1,0,0.268788
141,256,1e-06,2048,4,1,1,18.4057
142,256,1e-06,2048,4,2,0,0.280245
143,256,1e-06,2048,4,2,1,17.5459
144,256,1e-06,2048,8,0,0,916.809
145,256,1e-06,2048,8,0,1,1137.97
146,256,1e-06,2048,8,1,0,0.373514
147,256,1e-06,2048,8,1,1,13.582
148,256,1e-06,2048,8,2,0,0.385485
149,256,1e-06,2048,8,2,1,13.7162
150,256,1e-06,2048,16,0,0,499.222
151,256,1e-06,2048,16,0,1,704.304
152,256,1e-06,2048,16,1,0,0.577409
153,256,1e-06,2048,16,1,1,12.7307
154,256,1e-06,2048,16,2,0,0.578267
155,256,1e-06,2048,16,2,1,13.4254
156,256,1e-06,2048,32,0,0,494.852
157,256,1e-06,2048,32,0,1,979.223
158,256,1e-06,2048,32,1,0,2.36079
159,256,1e-06,2048,32,1,1,18.9104
160,256,1e-06,2048,32,2,0,3.66463
161,256,1e-06,2048,32,2,1,18.4561
162,256,1e-06,2048,64,0,0,270.651
163,256,1e-06,2048,64,0,1,776.971
164,256,1e-06,2048,64,1,0,15.109
165,256,1e-06,2048,64,1,1,43.875
166,256,1e-06,2048,64,2,0,9.06575
167,256,1e-06,2048,64,2,1,43.1463
168,256,0.0001,256,1,0,0,91.9106
169,256,0.0001,256,1,0,1,172.562
170,256,0.0001,256,1,1,0,0.087175
171,256,0.0001,256,1,1,1,22.4359
172,256,0.0001,256,1,2,0,0.095693
173,256,0.0001,256,1,2,1,29.3456
174,256,0.0001,256,2,0,0,73.6917
175,256,0.0001,256,2,0,1,111.177
176,256,0.0001,256,2,1,0,0.215665
177,256,0.0001,256,2,1,1,24.854
178,256,0.0001,256,2,2,0,0.174305
179,256,0.0001,256,2,2,1,24.17
180,256,0.0001,256,4,0,0,42.1838
181,256,0.0001,256,4,0,1,67.2643
182,256,0.0001,256,4,1,0,0.167662
183,256,0.0001,256,4,1,1,16.1502
184,256,0.0001,256,4,2,0,0.156333
185,256,0.0001,256,4,2,1,18.3176
186,256,0.0001,256,8,0,0,25.2494
187,256,0.0001,256,8,0,1,32.9069
188,256,0.0001,256,8,1,0,0.253519
189,256,0.0001,256,8,1,1,12.906
190,256,0.0001,256,8,2,0,0.257861
191,256,0.0001,256,8,2,1,12.628
192,256,0.0001,256,16,0,0,15.8617
193,256,0.0001,256,16,0,1,35.153
194,256,0.0001,256,16,1,0,0.397534
195,256,0.0001,256,16,1,1,12.8105
196,256,0.0001,256,16,2,0,0.445411
197,256,0.0001,256,16,2,1,12.1699
198,256,0.0001,256,32,0,0,17.5429
199,256,0.0001,256,32,0,1,28.8999
200,256,0.0001,256,32,1,0,3.54328
201,256,0.0001,256,32,1,1,18.8463
202,256,0.0001,256,32,2,0,3.63106
203,256,0.0001,256,32,2,1,19.3795
204,256,0.0001,256,64,0,0,24.1188
205,256,0.0001,256,64,0,1,55.0087
206,256,0.0001,256,64,1,0,8.77487
207,256,0.0001,256,64,1,1,43.2875
208,256,0.0001,256,64,2,0,10.9734
209,256,0.0001,256,64,2,1,47.5755
210,256,0.0001,512,1,0,0,520.737
211,256,0.0001,512,1,0,1,498.443
212,256,0.0001,512,1,1,0,0.224449
213,256,0.0001,512,1,1,1,20.1039
214,256,0.0001,512,1,2,0,0.190689
215,256,0.0001,512,1,2,1,30.7156
216,256,0.0001,512,2,0,0,241.649
217,256,0.0001,512,2,0,1,302.07
218,256,0.0001,512,2,1,0,0.4035
219,256,0.0001,512,2,1,1,26.2363
220,256,0.0001,512,2,2,0,0.364636
221,256,0.0001,512,2,2,1,26.3853
222,256,0.0001,512,4,0,0,138.462
223,256,0.0001,512,4,0,1,193.293
224,256,0.0001,512,4,1,0,0.332886
225,256,0.0001,512,4,1,1,17.5368
226,256,0.0001,512,4,2,0,0.279792
227,256,0.0001,512,4,2,1,18.3771
228,256,0.0001,512,8,0,0,76.7049
229,256,0.0001,512,8,0,1,138.55
230,256,0.0001,512,8,1,0,0.302641
231,256,0.0001,512,8,1,1,14.2732
232,256,0.0001,512,8,2,0,0.319101
233,256,0.0001,512,8,2,1,14.7351
234,256,0.0001,512,16,0,0,41.4951
235,256,0.0001,512,16,0,1,68.6356
236,256,0.0001,512,16,1,0,0.471438
237,256,0.0001,512,16,1,1,13.5905
238,256,0.0001,512,16,2,0,0.46717
239,256,0.0001,512,16,2,1,13.4597
240,256,0.0001,512,32,0,0,44.0584
241,256,0.0001,512,32,0,1,97.9366
242,256,0.0001,512,32,1,0,3.72161
243,256,0.0001,512,32,1,1,19.5214
244,256,0.0001,512,32,2,0,3.93727
245,256,0.0001,512,32,2,1,20.2389
246,256,0.0001,512,64,0,0,43.753
247,256,0.0001,512,64,0,1,116.835
248,256,0.0001,512,64,1,0,12.3039
249,256,0.0001,512,64,1,1,54.7675
250,256,0.0001,512,64,2,0,14.9722
251,256,0.0001,512,64,2,1,53.4563
252,256,0.0001,1024,1,0,0,1464.84
253,256,0.0001,1024,1,0,1,1481.25
254,256,0.0001,1024,1,1,0,1.24922
255,256,0.0001,1024,1,1,1,21.9221
256,256,0.0001,1024,1,2,0,1.01528
257,256,0.0001,1024,1,2,1,20.7198
258,256,0.0001,1024,2,0,0,761.803
259,256,0.0001,1024,2,0,1,968.235
260,256,0.0001,1024,2,1,0,1.27163
261,256,0.0001,1024,2,1,1,18.0311
262,256,0.0001,1024,2,2,0,1.09676
263,256,0.0001,1024,2,2,1,20.8242
264,256,0.0001,1024,4,0,0,435.82
265,256,0.0001,1024,4,0,1,514.714
266,256,0.0001,1024,4,1,0,0.874455
267,256,0.0001,1024,4,1,1,18.5815
268,256,0.0001,1024,4,2,0,0.738122
269,256,0.0001,1024,4,2,1,17.4396
270,256,0.0001,1024,8,0,0,263.052
271,256,0.0001,1024,8,0,1,317.243
272,256,0.0001,1024,8,1,0,0.676183
273,256,0.0001,1024,8,1,1,14.3454
274,256,0.0001,1024,8,2,0,0.619627
275,256,0.0001,1024,8,2,1,14.9174
276,256,0.0001,1024,16,0,0,145.984
277,256,0.0001,1024,16,0,1,207.443
278,256,0.0001,1024,16,1,0,0.732955
279,256,0.0001,1024,16,1,1,12.8229
280,256,0.0001,1024,16,2,0,0.703289
281,256,0.0001,1024,16,2,1,13.4564
282,256,0.0001,1024,32,0,0,150.474
283,256,0.0001,1024,32,0,1,219.416
284,256,0.0001,1024,32,1,0,3.59613
285,256,0.0001,1024,32,1,1,22.9055
286,256,0.0001,1024,32,2,0,3.74249
287,256,0.0001,1024,32,2,1,21.2379
288,256,0.0001,1024,64,0,0,120.646
289,256,0.0001,1024,64,0,1,195.395
290,256,0.0001,1024,64,1,0,8.4475
291,256,0.0001,1024,64,1,1,41.1906
292,256,0.0001,1024,64,2,0,10.5643
293,256,0.0001,1024,64,2,1,46.0548
294,256,0.0001,2048,1,0,0,5645.62
295,256,0.0001,2048,1,0,1,5850.9
296,256,0.0001,2048,1,1,0,5.17631
297,256,0.0001,2048,1,1,1,25.331
298,256,0.0001,2048,1,2,0,3.94471
299,256,0.0001,2048,1,2,1,27.283
300,256,0.0001,2048,2,0,0,2881.69
301,256,0.0001,2048,2,0,1,3117.18
302,256,0.0001,2048,2,1,0,4.72017
303,256,0.0001,2048,2,1,1,26.9191
304,256,0.0001,2048,2,2,0,3.57339
305,256,0.0001,2048,2,2,1,24.9331
306,256,0.0001,2048,4,0,0,1555.16
307,256,0.0001,2048,4,0,1,1748.89
308,256,0.0001,2048,4,1,0,2.58767
309,256,0.0001,2048,4,1,1,19.5786
310,256,0.0001,2048,4,2,0,1.91432
311,256,0.0001,2048,4,2,1,17.8902
312,256,0.0001,2048,8,0,0,904.783
313,256,0.0001,2048,8,0,1,1082.77
314,256,0.0001,2048,8,1,0,1.51566
315,256,0.0001,2048,8,1,1,15.6413
316,256,0.0001,2048,8,2,0,1.27288
317,256,0.0001,2048,8,2,1,15.4299
318,256,0.0001,2048,16,0,0,493.931
319,256,0.0001,2048,16,0,1,702.005
320,256,0.0001,2048,16,1,0,1.21234
321,256,0.0001,2048,16,1,1,12.8265
322,256,0.0001,2048,16,2,0,1.07173
323,256,0.0001,2048,16,2,1,13.333
324,256,0.0001,2048,32,0,0,489.673
325,256,0.0001,2048,32,0,1,661.838
326,256,0.0001,2048,32,1,0,2.72091
327,256,0.0001,2048,32,1,1,19.4885
328,256,0.0001,2048,32,2,0,3.95961
329,256,0.0001,2048,32,2,1,18.6604
330,256,0.0001,2048,64,0,0,309.203
331,256,0.0001,2048,64,0,1,509.474
332,256,0.0001,2048,64,1,0,10.2036
333,256,0.0001,2048,64,1,1,45.4608
334,256,0.0001,2048,64,2,0,13.0758
335,256,0.0001,2048,64,2,1,50.1114
336,256,0.01,256,1,0,0,141.806
337,256,0.01,256,1,0,1,156.32
338,256,0.01,256,1,1,0,4.27928
339,256,0.01,256,1,1,1,34.1231
340,256,0.01,256,1,2,0,2.18643
341,256,0.01,256,1,2,1,32.1835
342,256,0.01,256,2,0,0,78.586
343,256,0.01,256,2,0,1,89.9544
344,256,0.01,256,2,1,0,3.38566
345,256,0.01,256,2,1,1,30.4274
346,256,0.01,256,2,2,0,2.66879
347,256,0.01,256,2,2,1,25.0906
348,256,0.01,256,4,0,0,42.7058
349,256,0.01,256,4,0,1,66.8016
350,256,0.01,256,4,1,0,2.28777
351,256,0.01,256,4,1,1,18.3743
352,256,0.01,256,4,2,0,1.42032
353,256,0.01,256,4,2,1,18.8897
354,256,0.01,256,8,0,0,26.9207
355,256,0.01,256,8,0,1,37.9523
356,256,0.01,256,8,1,0,1.44975
357,256,0.01,256,8,1,1,15.2316
358,256,0.01,256,8,2,0,0.909604
359,256,0.01,256,8,2,1,13.7748
360,256,0.01,256,16,0,0,16.8567
361,256,0.01,256,16,0,1,36.6449
362,256,0.01,256,16,1,0,1.01838
363,256,0.01,256,16,1,1,14.3035
364,256,0.01,256,16,2,0,0.895526
365,256,0.01,256,16,2,1,14.4214
366,256,0.01,256,32,0,0,16.9617
367,256,0.01,256,32,0,1,31.6748
368,256,0.01,256,32,1,0,3.50516
369,256,0.01,256,32,1,1,20.1409
370,256,0.01,256,32,2,0,3.8155
371,256,0.01,256,32,2,1,18.9442
372,256,0.01,256,64,0,0,21.9929
373,256,0.01,256,64,0,1,52.0899
374,256,0.01,256,64,1,0,12.0726
375,256,0.01,256,64,1,1,52.2169
376,256,0.01,256,64,2,0,10.9837
377,256,0.01,256,64,2,1,53.634
378,256,0.01,512,1,0,0,442.631
379,256,0.01,512,1,0,1,472.691
380,256,0.01,512,1,1,0,11.7848
381,256,0.01,512,1,1,1,33.8696
382,256,0.01,512,1,2,0,5.74632
383,256,0.01,512,1,2,1,27.7002
384,256,0.01,512,2,0,0,191.167
385,256,0.01,512,2,0,1,219.572
386,256,0.01,512,2,1,0,10.571
387,256,0.01,512,2,1,1,37.6888
388,256,0.01,512,2,2,0,7.59884
389,256,0.01,512,2,2,1,30.9257
390,256,0.01,512,4,0,0,149.057
391,256,0.01,512,4,0,1,162.247
392,256,0.01,512,4,1,0,8.18001
393,256,0.01,512,4,1,1,21.2667
394,256,0.01,512,4,2,0,4.49755
395,256,0.01,512,4,2,1,19.151
396,256,0.01,512,8,0,0,78.9138
397,256,0.01,512,8,0,1,138.853
398,256,0.01,512,8,1,0,4.72149
399,256,0.01,512,8,1,1,17.193
400,256,0.01,512,8,2,0,2.55919
401,256,0.01,512,8,2,1,15.8676
402,256,0.01,512,16,0,0,43.535
403,256,0.01,512,16,0,1,106.102
404,256,0.01,512,16,1,0,2.72176
405,256,0.01,512,16,1,1,13.9395
406,256,0.01,512,16,2,0,1.76946
